iter	Logloss
0	0.6709387931
1	0.6532361326
2	0.6376231339
3	0.6241626758
4	0.6125941617
5	0.6021232125
6	0.5931904268
7	0.5843508688
8	0.5775009374
9	0.5715162066
10	0.5655733479
11	0.560418901
12	0.5558048181
13	0.5511931223
14	0.5473982868
15	0.5436815413
16	0.5408690544
17	0.5375214816
18	0.534377683
19	0.5319393932
20	0.5297711657
21	0.5274643099
22	0.5254611308
23	0.5230293233
24	0.5213030901
25	0.5189355432
26	0.5170499152
27	0.5155765931
28	0.5140338847
29	0.5121487345
30	0.5108741809
31	0.5093902795
32	0.5083032277
33	0.5071006595
34	0.5059822986
35	0.5049084573
36	0.5037643144
37	0.5021408515
38	0.5010821172
39	0.5000928046
40	0.4992180073
41	0.4981725482
42	0.497066626
43	0.496216664
44	0.4953294106
45	0.4944565659
46	0.493687706
47	0.4929368111
48	0.4922247342
49	0.491535563
50	0.4909344237
51	0.4901707042
52	0.4895914933
53	0.4889762557
54	0.4883225792
55	0.4875130018
56	0.486942805
57	0.4864140291
58	0.4858395892
59	0.4853887743
60	0.484814777
61	0.4842974909
62	0.4838211575
63	0.4832960813
64	0.4828820931
65	0.4824232161
66	0.4820552464
67	0.4816150098
68	0.4811715305
69	0.4807751818
70	0.4803840012
71	0.4800137088
72	0.4795919687
73	0.4792516158
74	0.4788816333
75	0.4785309595
76	0.478164679
77	0.4778426672
78	0.4775095579
79	0.4772141676
80	0.476885521
81	0.4766163632
82	0.4763361614
83	0.4760779332
84	0.4758313387
85	0.4755661796
86	0.47528572
87	0.4750086592
88	0.4746976794
89	0.4744605773
90	0.47424354
91	0.4739457412
92	0.4736864074
93	0.4734806241
94	0.4732692231
95	0.4729761532
96	0.4727728771
97	0.4725576357
98	0.4723599681
99	0.4721819647
100	0.4719221749
101	0.471697872
102	0.4714081466
103	0.4711710168
104	0.4709821595
105	0.4707942641
106	0.4706081031
107	0.4704072281
108	0.470217211
109	0.4700529702
110	0.4698800974
111	0.4696978221
112	0.4695388183
113	0.4693671277
114	0.469181639
115	0.46905402
116	0.4689160979
117	0.4687500012
118	0.4685997975
119	0.4684686245
120	0.4683171549
121	0.468193912
122	0.4680325671
123	0.4679013857
124	0.4677498464
125	0.4676336766
126	0.4674899843
127	0.4673297127
128	0.4672100862
129	0.4670763276
130	0.4669572424
131	0.4668130941
132	0.4666625139
133	0.466547764
134	0.4664393911
135	0.4663512188
136	0.4662316704
137	0.4661217487
138	0.4660243138
139	0.4659146405
140	0.4658058532
141	0.4657181607
142	0.4655702045
143	0.4654653417
144	0.4653575009
145	0.4652581056
146	0.4651507102
147	0.4650465196
148	0.4649188197
149	0.464793813
150	0.464691419
151	0.4645756996
152	0.4644714417
153	0.4643477726
154	0.4642324284
155	0.4641021325
156	0.464000449
157	0.4639193848
158	0.4638168473
159	0.4637100603
160	0.4636196757
161	0.4635209799
162	0.4634100228
163	0.4633039477
164	0.4631935748
165	0.4630847538
166	0.4629835147
167	0.4628842725
168	0.4627873476
169	0.4626970486
170	0.4625907192
171	0.4624743722
172	0.462387814
173	0.4622833188
174	0.4621462932
175	0.4620525531
176	0.4619647118
177	0.4618423792
178	0.4617596018
179	0.4616724897
180	0.461570389
181	0.4614819811
182	0.4613898861
183	0.4612777238
184	0.4612027484
185	0.4610857729
186	0.460992362
187	0.4608802967
188	0.4607769962
189	0.4606699182
190	0.4605719239
191	0.4604813548
192	0.4603603745
193	0.4602586755
194	0.4601494101
195	0.4600425451
196	0.4599268429
197	0.4598236204
198	0.4597287969
199	0.459632679
200	0.4595389114
201	0.4594342416
202	0.4593135247
203	0.4592006319
204	0.459129145
205	0.4590463391
206	0.4589367828
207	0.4588528242
208	0.4587332401
209	0.4586240942
210	0.4585262473
211	0.4584167945
212	0.4583419672
213	0.4582482578
214	0.4581440049
215	0.4580327242
216	0.4579553697
217	0.4578562737
218	0.4577663153
219	0.4576517914
220	0.4575695804
221	0.4574850272
222	0.4573998637
223	0.4573163662
224	0.4572155854
225	0.4571158846
226	0.457001674
227	0.4568883687
228	0.4567891397
229	0.4566860063
230	0.4566010256
231	0.4564947857
232	0.4564003634
233	0.4563090728
234	0.4562155499
235	0.4561016727
236	0.4559956967
237	0.4558808211
238	0.4557549584
239	0.4556770454
240	0.4555732595
241	0.4554876908
242	0.455416275
243	0.4553232797
244	0.4552335803
245	0.4551272925
246	0.4550403025
247	0.4549248176
248	0.4548098229
249	0.4547031758
250	0.454626676
251	0.4545429755
252	0.4544406335
253	0.4543726864
254	0.4542722696
255	0.4541741054
256	0.4540917581
257	0.4539819934
258	0.4538709678
259	0.4537893593
260	0.4537036856
261	0.4536026119
262	0.4534925026
263	0.4533946091
264	0.4532983686
265	0.453213495
266	0.4531333174
267	0.4530359075
268	0.4529293118
269	0.4528416099
270	0.4527565338
271	0.4526722509
272	0.4525724706
273	0.4524789476
274	0.4523844331
275	0.452305952
276	0.4522206038
277	0.4521544484
278	0.4520537001
279	0.4519488131
280	0.4518664271
281	0.4517906013
282	0.4517162049
283	0.451618327
284	0.451520789
285	0.4514301732
286	0.451315046
287	0.4512333158
288	0.4511530328
289	0.4510742089
290	0.4509799767
291	0.4508844158
292	0.4507882157
293	0.4507030018
294	0.4506234739
295	0.4505232429
296	0.4504413131
297	0.4503768864
298	0.4503039586
299	0.4501838863
300	0.4500893346
301	0.4500036118
302	0.4499053276
303	0.4498179802
304	0.4497321724
305	0.4496605841
306	0.4495777036
307	0.4494892528
308	0.4494109294
309	0.4493345832
310	0.449238011
311	0.4491244624
312	0.4490642526
313	0.4489911766
314	0.4489168908
315	0.4488238173
316	0.4487473564
317	0.4486722997
318	0.4485855491
319	0.4485137481
320	0.4484380663
321	0.448364175
322	0.4482692921
323	0.4481979179
324	0.4481019266
325	0.4480093138
326	0.4479404167
327	0.4478624259
328	0.4477660328
329	0.4476722758
330	0.4475905746
331	0.4475119067
332	0.447431637
333	0.447337024
334	0.4472520403
335	0.4471652679
336	0.4470898453
337	0.4470022592
338	0.4469104891
339	0.4468204435
340	0.4467407473
341	0.4466363254
342	0.4465424627
343	0.4464441791
344	0.4463476855
345	0.4462684169
346	0.446179911
347	0.4460811119
348	0.4460179482
349	0.4459457931
350	0.4458944952
351	0.4458046083
352	0.445711758
353	0.4456187454
354	0.4455392797
355	0.4454379157
356	0.445344946
357	0.4452582645
358	0.4451721866
359	0.4450847214
360	0.4449958901
361	0.444931687
362	0.4448450742
363	0.4447631073
364	0.4446790361
365	0.444582863
366	0.4445126312
367	0.4444278314
368	0.4443390179
369	0.4442743614
370	0.4441976072
371	0.4440931054
372	0.4440228881
373	0.4439374193
374	0.4438521465
375	0.4437800778
376	0.4437096554
377	0.443619975
378	0.4435275796
379	0.4434530387
380	0.4433494862
381	0.4432593732
382	0.4431584806
383	0.4431001516
384	0.4430263544
385	0.4429357356
386	0.4428553643
387	0.4427612104
388	0.4427022664
389	0.4426281595
390	0.4425683433
391	0.4424794682
392	0.4423853472
393	0.4423193074
394	0.4422454966
395	0.4421451985
396	0.4420620523
397	0.4419839975
398	0.4419313244
399	0.4418534699
400	0.4417939893
401	0.4417180612
402	0.4416295286
403	0.4415497895
404	0.4414630737
405	0.441378925
406	0.4413194295
407	0.4412402377
408	0.4411743566
409	0.441114763
410	0.4410494505
411	0.4409940468
412	0.4409395515
413	0.4408485365
414	0.4407805235
415	0.4406878027
416	0.4406296453
417	0.4405377294
418	0.4404724552
419	0.4403834417
420	0.4403083121
421	0.4402123541
422	0.4401472915
423	0.4400682496
424	0.4399883558
425	0.4399074747
