iter	Passed	Remaining
541	9498	8026
542	9513	8006
543	9529	7987
544	9544	7968
545	9559	7949
546	9576	7930
547	9592	7912
548	9611	7895
549	9628	7877
550	9644	7859
551	9660	7840
552	9679	7824
553	9696	7806
554	9712	7787
555	9738	7776
556	9754	7758
557	9769	7738
558	9785	7720
559	9800	7700
560	9815	7680
561	9831	7662
562	9847	7643
563	9877	7635
564	9894	7617
565	9910	7598
566	9926	7580
567	9943	7562
568	9959	7543
569	9974	7524
570	9989	7505
571	10005	7486
572	10022	7468
573	10038	7450
574	10054	7431
575	10068	7411
576	10083	7392
577	10098	7372
578	10110	7351
579	10123	7330
580	10137	7310
581	10153	7292
582	10167	7272
583	10182	7253
584	10197	7234
585	10212	7214
586	10225	7194
587	10238	7174
588	10251	7153
589	10264	7132
590	10277	7112
591	10290	7092
592	10304	7072
593	10318	7052
594	10333	7033
595	10348	7015
596	10364	6996
597	10380	6977
598	10395	6959
599	10411	6941
600	10428	6923
601	10442	6904
602	10458	6885
603	10473	6867
604	10490	6849
605	10507	6831
606	10523	6813
607	10539	6795
608	10555	6777
609	10570	6758
610	10587	6740
611	10603	6722
612	10617	6703
613	10632	6684
614	10649	6666
615	10663	6647
616	10678	6628
617	10693	6609
618	10709	6591
619	10725	6573
620	10741	6555
621	10757	6537
622	10773	6519
623	10788	6501
624	10805	6483
625	10821	6465
626	10836	6446
627	10851	6428
628	10866	6409
629	10882	6391
630	10897	6372
631	10912	6354
632	10928	6336
633	10945	6318
634	10960	6299
635	10975	6281
636	10991	6263
637	11006	6245
638	11021	6226
639	11038	6209
640	11053	6190
641	11070	6173
642	11086	6155
643	11100	6136
644	11113	6116
645	11127	6097
646	11140	6078
647	11154	6059
648	11167	6039
649	11181	6020
650	11193	6000
651	11208	5982
652	11221	5963
653	11234	5943
654	11248	5924
655	11260	5905
656	11273	5885
657	11287	5866
658	11300	5847
659	11314	5828
660	11330	5810
661	11345	5792
662	11361	5775
663	11378	5757
664	11394	5740
665	11411	5722
666	11428	5705
667	11444	5688
668	11460	5670
669	11477	5653
670	11494	5636
671	11515	5620
672	11531	5603
673	11548	5585
674	11563	5567
675	11579	5550
676	11596	5532
677	11612	5514
678	11627	5496
679	11642	5478
680	11658	5461
681	11674	5443
682	11691	5426
683	11707	5408
684	11723	5391
685	11740	5373
686	11755	5356
687	11771	5338
688	11787	5320
689	11804	5303
690	11820	5285
691	11835	5267
692	11850	5249
693	11866	5232
694	11881	5214
695	11897	5196
696	11914	5179
697	11929	5161
698	11945	5144
699	11960	5126
700	11975	5107
701	11992	5090
702	12008	5073
703	12029	5057
704	12049	5041
705	12065	5024
706	12080	5006
707	12093	4987
708	12107	4969
709	12119	4950
710	12134	4932
711	12148	4914
712	12162	4895
713	12175	4876
714	12188	4858
715	12201	4839
716	12214	4821
717	12227	4802
718	12241	4784
719	12254	4765
720	12267	4746
721	12281	4728
722	12296	4710
723	12312	4693
724	12329	4676
725	12346	4659
726	12362	4642
727	12379	4625
728	12396	4608
729	12412	4590
730	12427	4573
731	12444	4556
732	12458	4538
733	12474	4520
734	12489	4503
735	12506	4485
736	12521	4468
737	12538	4451
738	12553	4433
739	12569	4416
740	12584	4398
741	12599	4381
742	12616	4363
743	12632	4346
744	12647	4328
745	12662	4311
746	12677	4293
747	12693	4276
748	12708	4258
749	12725	4241
750	12739	4223
751	12755	4206
752	12770	4188
753	12787	4171
754	12807	4156
755	12824	4139
756	12841	4122
757	12856	4104
758	12873	4087
759	12889	4070
760	12905	4053
761	12922	4036
762	12938	4018
763	12954	4001
764	12969	3984
765	12986	3967
766	13002	3949
767	13019	3933
768	13037	3916
769	13053	3899
770	13068	3881
771	13083	3864
772	13099	3846
773	13115	3829
774	13131	3812
775	13145	3794
776	13160	3776
777	13174	3759
778	13189	3741
779	13203	3724
780	13217	3706
781	13231	3688
782	13245	3670
783	13259	3653
784	13273	3635
785	13288	3617
786	13304	3600
787	13320	3583
788	13336	3566
789	13351	3549
790	13367	3532
791	13384	3515
792	13399	3497
793	13417	3481
794	13435	3464
795	13451	3447
796	13468	3430
797	13483	3413
798	13502	3396
799	13520	3380
800	13534	3362
801	13550	3345
802	13564	3327
803	13580	3310
804	13599	3294
805	13614	3276
806	13631	3259
807	13647	3243
808	13663	3225
809	13680	3209
810	13697	3192
811	13714	3175
812	13732	3158
813	13747	3141
814	13763	3124
815	13779	3107
816	13795	3090
817	13810	3072
818	13826	3055
819	13842	3038
820	13858	3021
821	13874	3004
822	13890	2987
823	13905	2970
824	13921	2953
825	13936	2935
826	13952	2918
827	13967	2901
828	13983	2884
829	13999	2867
830	14015	2850
831	14030	2833
832	14043	2815
833	14057	2797
834	14070	2780
835	14084	2763
836	14099	2745
837	14113	2728
838	14125	2710
839	14139	2693
840	14152	2675
841	14165	2658
842	14179	2640
843	14193	2623
844	14207	2606
845	14220	2588
846	14234	2571
847	14247	2553
848	14261	2536
849	14277	2519
850	14292	2502
851	14308	2485
852	14323	2468
853	14339	2451
854	14354	2434
855	14372	2417
856	14388	2400
857	14402	2383
858	14417	2366
859	14434	2349
860	14449	2332
861	14464	2315
862	14480	2298
863	14496	2281
864	14513	2265
865	14530	2248
866	14544	2231
867	14559	2214
868	14575	2197
869	14591	2180
870	14607	2163
871	14622	2146
872	14638	2129
873	14654	2112
874	14670	2095
875	14686	2078
876	14702	2062
877	14718	2045
878	14734	2028
879	14751	2011
880	14767	1994
881	14786	1978
882	14801	1961
883	14840	1947
884	14856	1930
885	14872	1913
886	14889	1896
887	14905	1879
888	14922	1863
889	14937	1846
890	14953	1829
891	14967	1812
892	14982	1795
893	14998	1778
894	15012	1761
895	15027	1744
896	15040	1727
897	15053	1709
898	15066	1692
899	15080	1675
900	15093	1658
901	15108	1641
902	15121	1624
903	15134	1607
904	15148	1590
905	15161	1573
906	15176	1556
907	15191	1539
908	15204	1522
909	15217	1505
910	15229	1487
911	15242	1470
912	15257	1453
913	15273	1437
914	15288	1420
915	15303	1403
916	15321	1386
917	15336	1369
918	15352	1353
919	15368	1336
920	15384	1319
921	15401	1302
922	15417	1286
923	15434	1269
924	15449	1252
925	15466	1236
926	15483	1219
927	15499	1202
928	15516	1185
929	15532	1169
930	15547	1152
931	15562	1135
932	15578	1118
933	15593	1101
934	15608	1085
935	15624	1068
936	15639	1051
937	15654	1034
938	15684	1018
939	15700	1002
940	15717	985
941	15732	968
942	15747	951
943	15763	935
944	15779	918
945	15795	901
946	15811	884
947	15826	868
948	15842	851
949	15856	834
950	15872	817
951	15887	801
952	15903	784
953	15917	767
954	15933	750
955	15947	734
956	15965	717
957	15980	700
958	15995	683
959	16008	667
960	16021	650
961	16034	633
962	16047	616
963	16060	599
964	16074	583
965	16088	566
966	16103	549
967	16116	532
968	16129	516
969	16142	499
970	16155	482
971	16169	465
972	16183	449
973	16195	432
974	16209	415
975	16222	398
976	16237	382
977	16253	365
978	16267	348
979	16283	332
980	16299	315
981	16314	299
982	16330	282
983	16346	265
984	16362	249
985	16376	232
986	16391	215
987	16407	199
988	16423	182
989	16439	166
990	16456	149
991	16471	132
992	16487	116
993	16504	99
994	16520	83
995	16536	66
996	16552	49
997	16569	33
998	16585	16
999	16600	0
